,source,hyperlink,house_is,property_subtype,price,sale,rooms_number,area,kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,land_plot_surface,facades_number,swimming_pool_has,building_state,unmerged_postcode
755,6,8947400,True,MIXED-USE-BUILDING,675000,,0.0,1042.0,False,False,False,True,0.0,False,0.0,0.0,1042.0,0.0,False,,1000
769,6,8835114,True,APARTMENT-BLOCK,750000,,4.0,220.0,True,False,False,False,0.0,False,0.0,0.0,220.0,0.0,False,,1040
770,6,8835631,True,MIXED-USE-BUILDING,1100000,,0.0,920.0,False,False,False,False,0.0,False,0.0,332.0,332.0,0.0,False,TO RENOVATE,1030
771,6,8840553,True,APARTMENT-BLOCK,2450000,,0.0,630.0,True,False,False,False,0.0,False,0.0,0.0,630.0,0.0,False,AS NEW,1000
778,6,8794102,True,APARTMENT-BLOCK,1950000,,15.0,985.0,True,False,False,False,0.0,False,0.0,380.0,380.0,0.0,False,GOOD,1070
787,6,8764571,True,HOUSE,650000,,6.0,250.0,True,False,False,False,0.0,False,0.0,60.0,60.0,0.0,False,GOOD,1050
788,6,8820571,True,APARTMENT-BLOCK,850000,,0.0,450.0,False,False,False,False,0.0,False,0.0,125.0,125.0,0.0,False,,1070
819,6,8798880,True,APARTMENT-BLOCK,795000,,0.0,600.0,True,False,False,False,0.0,False,0.0,0.0,600.0,0.0,False,NOT SPECIFIED,1070
827,6,8899230,True,APARTMENT-BLOCK,310000,,3.0,0.0,True,False,False,True,0.0,False,0.0,0.0,0.0,0.0,False,NOT SPECIFIED,1030
836,6,8665416,True,VILLA,950000,,5.0,250.0,True,False,False,False,0.0,False,0.0,250.0,250.0,0.0,False,,1150
843,6,8928668,True,APARTMENT-BLOCK,775000,,1.0,325.0,True,False,False,False,0.0,False,0.0,97.0,97.0,0.0,False,,1000
859,6,8928289,True,APARTMENT-BLOCK,1425000,,9.0,432.0,False,False,False,True,7.0,False,0.0,190.0,190.0,0.0,False,,1180
860,6,8787243,True,HOUSE,1450000,,13.0,1590.0,True,False,False,False,0.0,False,0.0,0.0,1590.0,0.0,False,TO RENOVATE,1000
865,6,8572207,True,MIXED-USE-BUILDING,1195000,,0.0,445.0,True,False,False,True,70.0,False,0.0,470.0,470.0,0.0,False,GOOD,1170
867,6,8825847,True,APARTMENT-BLOCK,495000,,4.0,265.0,True,False,False,False,0.0,False,0.0,136.0,136.0,0.0,False,TO RENOVATE,1080
876,6,8902071,True,MIXED-USE-BUILDING,550000,,0.0,660.0,False,False,False,False,0.0,False,0.0,186.0,186.0,0.0,False,TO RENOVATE,1080
878,6,8949178,True,APARTMENT-BLOCK,190000,,5.0,0.0,False,False,False,False,0.0,False,0.0,0.0,0.0,0.0,False,NOT SPECIFIED,1020
906,6,8942057,True,APARTMENT-BLOCK,399000,,3.0,190.0,True,False,False,True,27.0,False,0.0,0.0,5.0,0.0,False,AS NEW,1070
908,6,8921249,True,APARTMENT-BLOCK,1100000,,3.0,224.0,True,False,False,False,0.0,False,0.0,0.0,224.0,0.0,False,NOT SPECIFIED,1020
924,6,8956723,True,MIXED-USE-BUILDING,995000,,4.0,650.0,True,False,False,False,0.0,False,0.0,2350.0,2350.0,0.0,False,AS NEW,1180
957,6,8907743,True,APARTMENT-BLOCK,240000,,3.0,0.0,True,False,False,True,0.0,False,0.0,0.0,0.0,0.0,False,NOT SPECIFIED,1140
959,6,8830575,True,APARTMENT-BLOCK,470000,,6.0,0.0,False,False,False,False,0.0,False,0.0,0.0,0.0,0.0,False,NOT SPECIFIED,1030
963,6,7288442,True,MIXED-USE-BUILDING,6000000,,0.0,5100.0,True,False,False,False,0.0,False,0.0,0.0,5100.0,0.0,False,,1000
966,6,8953583,True,APARTMENT-BLOCK,160000,,3.0,0.0,False,False,False,False,0.0,False,0.0,246.0,246.0,0.0,False,NOT SPECIFIED,1120
974,6,8953507,True,APARTMENT-BLOCK,150000,,6.0,0.0,False,False,False,False,0.0,False,0.0,0.0,0.0,0.0,False,NOT SPECIFIED,1070
983,6,8936220,True,APARTMENT-BLOCK,850000,,0.0,0.0,True,False,False,False,0.0,False,0.0,0.0,0.0,0.0,False,TO RENOVATE,1000
991,6,8936218,True,MIXED-USE-BUILDING,850000,,0.0,0.0,True,False,False,False,0.0,False,0.0,0.0,0.0,0.0,False,,1000
1001,6,8847109,True,APARTMENT-BLOCK,710000,,6.0,370.0,False,False,False,False,0.0,False,0.0,142.0,142.0,0.0,False,TO RENOVATE,1000
1008,6,8783345,True,APARTMENT-BLOCK,699000,,8.0,290.0,True,False,False,False,0.0,False,0.0,132.0,132.0,0.0,False,TO RENOVATE,1060
1011,6,8590656,True,HOUSE,675000,,5.0,275.0,True,False,False,False,0.0,True,70.0,204.0,204.0,0.0,False,TO RENOVATE,1060
1013,6,8935928,True,APARTMENT-BLOCK,595000,,5.0,275.0,True,False,False,False,0.0,False,0.0,70.0,70.0,0.0,False,GOOD,1040
1021,6,8516406,True,APARTMENT-BLOCK,579000,,6.0,250.0,True,False,False,True,0.0,False,0.0,90.0,90.0,0.0,False,TO RENOVATE,1050
1026,6,8754777,True,APARTMENT-BLOCK,540000,,5.0,270.0,True,False,False,False,0.0,False,0.0,90.0,90.0,0.0,False,TO RENOVATE,1000
1032,6,8861648,True,APARTMENT-BLOCK,875000,,5.0,226.0,False,False,False,True,25.0,True,150.0,273.0,273.0,0.0,False,GOOD,1200
1033,6,8793412,True,APARTMENT-BLOCK,1350000,,5.0,450.0,False,False,False,True,6.0,True,60.0,193.0,193.0,0.0,False,TO RENOVATE,1000
1038,6,8927722,True,MIXED-USE-BUILDING,860000,,3.0,360.0,True,False,False,False,0.0,False,0.0,0.0,360.0,0.0,False,GOOD,1060
1053,6,8784158,True,HOUSE,595000,,3.0,200.0,True,False,False,False,0.0,True,650.0,580.0,580.0,0.0,False,AS NEW,1120
1054,6,8784157,True,APARTMENT-BLOCK,595000,,3.0,200.0,True,False,False,False,0.0,True,650.0,580.0,580.0,0.0,False,AS NEW,1120
1055,6,8415325,True,HOUSE,785000,,8.0,595.0,True,False,False,False,0.0,False,0.0,280.0,280.0,0.0,False,TO RENOVATE,1070
1059,6,8895579,True,MANSION,890000,,5.0,410.0,True,False,True,False,0.0,False,0.0,262.0,68.0,0.0,False,RENOVATED,1030
1061,6,8847110,True,APARTMENT-BLOCK,530000,,5.0,245.0,True,False,False,False,0.0,False,0.0,65.0,65.0,0.0,False,GOOD,1210
1094,6,8801587,True,APARTMENT-BLOCK,295000,,2.0,160.0,False,False,False,True,20.0,False,0.0,0.0,160.0,0.0,False,TO RENOVATE,1030
