property_subtype,price,rooms_number,area,unmerged_postcode
MIXED-USE-BUILDING,500000,2.0,220.0,1190
HOUSE,495000,4.0,250.0,1190
HOUSE,1350000,5.0,365.0,1050
VILLA,1350000,7.0,400.0,1150
HOUSE,595000,4.0,190.0,1150
APARTMENT-BLOCK,650000,4.0,200.0,1150
VILLA,980000,5.0,220.0,1150
HOUSE,590000,3.0,300.0,1200
VILLA,1950000,5.0,508.0,1150
TOWN-HOUSE,598000,5.0,243.0,1040
HOUSE,620000,7.0,340.0,1080
APARTMENT-BLOCK,399000,3.0,137.0,1030
HOUSE,570000,4.0,145.0,1150
HOUSE,575000,3.0,150.0,1150
HOUSE,599000,4.0,160.0,1050
HOUSE,930000,5.0,250.0,1150
HOUSE,1350000,4.0,429.0,1050
APARTMENT-BLOCK,1750000,7.0,550.0,1200
HOUSE,1800000,6.0,492.0,1180
HOUSE,375000,3.0,130.0,1120
HOUSE,750000,5.0,300.0,1050
HOUSE,219000,2.0,100.0,1070
HOUSE,339000,2.0,100.0,1160
APARTMENT-BLOCK,695000,7.0,257.0,1140
HOUSE,400000,6.0,244.0,1030
HOUSE,315000,5.0,161.0,1020
HOUSE,455000,5.0,180.0,1070
HOUSE,539000,3.0,185.0,1180
HOUSE,625000,4.0,271.0,1150
HOUSE,695000,4.0,200.0,1150
TOWN-HOUSE,745000,6.0,348.0,1190
EXCEPTIONAL-PROPERTY,950000,6.0,296.0,1150
MIXED-USE-BUILDING,1395000,3.0,568.0,1000
VILLA,1395000,4.0,358.0,1180
APARTMENT-BLOCK,520000,8.0,360.0,1030
HOUSE,525000,3.0,115.0,1150
HOUSE,680000,6.0,205.0,1082
APARTMENT-BLOCK,749000,8.0,350.0,1090
HOUSE,790000,3.0,201.0,1200
HOUSE,1650000,6.0,310.0,1050
APARTMENT-BLOCK,2300000,5.0,500.0,1050
HOUSE,660000,4.0,220.0,1040
MIXED-USE-BUILDING,1475000,5.0,260.0,1000
MIXED-USE-BUILDING,520000,4.0,200.0,1050
MIXED-USE-BUILDING,690000,5.0,230.0,1070
TOWN-HOUSE,495000,5.0,210.0,1082
HOUSE,645000,6.0,265.0,1200
HOUSE,850000,6.0,382.0,1030
APARTMENT-BLOCK,925000,3.0,220.0,1150
HOUSE,715000,4.0,186.0,1200
EXCEPTIONAL-PROPERTY,750000,4.0,238.0,1180
HOUSE,370000,4.0,161.0,1083
HOUSE,389000,3.0,200.0,1020
HOUSE,479000,3.0,140.0,1150
HOUSE,490000,4.0,180.0,1120
HOUSE,599000,3.0,160.0,1050
HOUSE,850000,5.0,305.0,1140
VILLA,1350000,5.0,300.0,1150
HOUSE,495000,5.0,280.0,1040
HOUSE,950000,3.0,223.0,1050
VILLA,1295000,4.0,470.0,1020
MANSION,1120000,4.0,300.0,1040
HOUSE,1250000,3.0,200.0,1180
HOUSE,690000,4.0,150.0,1150
HOUSE,980000,4.0,325.0,1150
HOUSE,1150000,6.0,475.0,1040
HOUSE,495000,3.0,110.0,1150
EXCEPTIONAL-PROPERTY,1590000,4.0,300.0,1050
VILLA,1950000,5.0,450.0,1180
APARTMENT-BLOCK,398000,0.0,180.0,1020
MIXED-USE-BUILDING,469000,0.0,203.0,1090
HOUSE,499000,4.0,173.0,1180
MIXED-USE-BUILDING,550000,3.0,245.0,1150
MANSION,630000,5.0,280.0,1030
MIXED-USE-BUILDING,1150000,4.0,320.0,1040
HOUSE,599000,3.0,180.0,1180
HOUSE,550000,4.0,180.0,1200
VILLA,2050000,5.0,505.0,1150
EXCEPTIONAL-PROPERTY,1695000,6.0,510.0,1180
VILLA,1825000,6.0,385.0,1160
VILLA,2495000,5.0,425.0,1180
HOUSE,780000,4.0,235.0,1050
HOUSE,415000,5.0,180.0,1030
HOUSE,1175000,7.0,255.0,1050
HOUSE,980000,5.0,350.0,1050
HOUSE,250000,4.0,165.0,1090
APARTMENT-BLOCK,940000,6.0,240.0,1030
MIXED-USE-BUILDING,1600000,6.0,300.0,1000
APARTMENT-BLOCK,550000,3.0,160.0,1200
HOUSE,475000,3.0,184.0,1170
HOUSE,850000,5.0,244.0,1150
HOUSE,890000,5.0,240.0,1180
HOUSE,495000,2.0,161.0,1150
HOUSE,690000,5.0,230.0,1000
MANSION,1650000,6.0,323.0,1050
VILLA,2650000,3.0,550.0,1180
VILLA,2750000,7.0,450.0,1180
EXCEPTIONAL-PROPERTY,1790000,6.0,560.0,1180
HOUSE,995000,5.0,290.0,1150
MANSION,1175000,4.0,275.0,1040
MANSION,1895000,5.0,400.0,1150
HOUSE,2500000,5.0,588.0,1050
HOUSE,289000,1.0,105.0,1000
HOUSE,295000,3.0,75.0,1120
HOUSE,315000,4.0,170.0,1030
HOUSE,545000,6.0,280.0,1020
APARTMENT-BLOCK,785000,5.0,184.0,1180
HOUSE,840000,5.0,240.0,1160
MANSION,895000,5.0,248.0,1170
HOUSE,950000,5.0,240.0,1160
